Local code,Reagent name,CAS number,Chemical category,Location,Observation,Available quantity,Total quantity,Container size
B-97,ETILAMINA,75-04-7,Aminas,ESTANTE METALICO,NULL,1 L,1 L,Muy grande
B-98,MELAMINA,108-78-1,Aminas,ESTANTE METALICO,NULL,247.50 g,500 g,Grande
B-99,DIMETILAMINA, 598-56-1,Aminas,ESTANTE METALICO,Envasado en frasco ámbar sin etiquetas.,24.75 mL,50 mL,Mediano
B*-01,ACIDO BORICO,10043-35-3,Compuestos de boro,ESTANTE MADERA GRANDE,Uno de los dos frascos está mal etiquetado como B*-02,500 g,500 g,Grande
B*-02,ACIDO BORICO,10043-35-4,Compuestos de boro,ESTANTE MADERA GRANDE,NULL,100 g,100 g,Mediano
Ba-01,OXIDO DE BARIO,1304-28-5,Compuestos de bario,ESTANTE MADERA GRANDE,NULL,250 g,250 g,Mediano
Ba-01,OXIDO DE BARIO,1304-28-5,Compuestos de bario,ESTANTE MADERA GRANDE,NULL,27.50 g,250 g,Mediano
Ba-02,PEROXIDO DE BARIO,1304-29-6,Compuestos de bario,ESTANTE MADERA GRANDE,NULL,1 lb,1 lb,Grande
Ba-03,HIDROXIDO DE BARIO, 17194-00-2,Compuestos de bario,ESTANTE MADERA GRANDE,NULL,500 g,500 g,Grande
Ba-04,SULFONATO DE DIFENILAMINA DE BARIO,1300-92-1,Compuestos de bario,ESTANTE MADERA GRANDE,NULL,1.65 g,5 g,Pequeño 
Ba-04,SULFONATO DE DIFENILAMINA DE BARIO,1300-92-1,Compuestos de bario,ESTANTE MADERA GRANDE,NULL,1.65 g,5 g,Pequeño
Ba-05,CLORURO DE BARIO,10361-37-2,Compuestos de bario,ESTANTE MADERA GRANDE,NULL,18.33 g,50 g,Pequeño
Ba-06,NITRATO DE BARIO,10022-31-8,Compuestos de bario,ESTANTE MADERA GRANDE,NULL,250 g,250 g,Grande
Ba-07,ACETATO DE BARIO,543-80-6,Compuestos de bario,ESTANTE MADERA GRANDE,Frasco de compota reenvasado.,70 g,70 g,Mediano
Bi-01,OXICLORURO DE BISMUTO,7787-59-9,Compuestos de bismuto,ESTANTE MADERA GRANDE,Es un frasco pequeño ámbar sin etiquetas y su contenido es líquido,5.94 g,25 g,Pequeño 
C-1,"1,3-CICLOHEXANODIONA",504-02-9,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,8.25 g,25 g,Mediano
C-1,"1,3-CICLOHEXANODIONA",504-02-9,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,16.50 g,25 g,Pequeño-mediano
C-1,"1,3-CICLOHEXANODIONA",504-02-9,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,8.25 g,25 g,Mediano
C-10,"2,6-DICLOROQUINONA-4-CLOROIMIDA",101-38-2,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,4.95 g,10 g,Pequeño
C-11,3-ETOXI-4 HIDROXIBENZALDEHIDO,121-33-5,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,"Rótulo con marcas poco claras, las letras son escritas a mano",99.00 g,300 g,Grande
C-12,3-HIDROXIACETOFENONA,121-71-1,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,1.49 g,2 g,Muy pequeño
C-13,"3,4,5-TRIMETOXIBENZALDEHIDO",86-81-7,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,36.67 g,100 g,Mediano
C-13,"3,4,5-TRIMETOXIBENZALDEHIDO",86-81-7,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,13.75 g,25 g,Pequeño
C-13,"3,4,5-TRIMETOXIBENZALDEHIDO",86-81-7,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,33.00 g,100 g,Mediano
C-14,4-(DIMETILAMINO)BENZALDEHIDO,100-10-7,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,88.00 g,100 g,Mediano
C-14,4-(DIMETILAMINO)BENZALDEHIDO,100-10-7,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,22.50 g,100 g,Mediano
C-14,4-(DIMETILAMINO)BENZALDEHIDO,100-10-7,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,10 g,10 g,Pequeño
C-15,4-BROMOACETOFENONA,99-90-1,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,5.62 g,25 g,Pequeño
C-17,4-CLOROBENZALDEHIDO,104-88-1,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,60.00 g,100 g,Mediano
C-18,4-HIDROXIBENZALDEHIDO,123-08-0,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,61.88 g,250 g,Mediano
C-20,4-METILACETOFENONA,122-00-9,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,22.50 g,100 g,Mediano
C-20,4-METILACETOFENONA,122-00-9,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,4.50 g,50 g,Pequeño-medio
C-21,4-METOXIBENZALDEHIDO,123-11-5,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,412.50 mL,500 mL,Grande
C-21,4-METOXIBENZALDEHIDO,123-11-5,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,49.50 mL,250 mL,Grande
C-21,4-METOXIBENZALDEHIDO,123-11-5,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,0.82 L,1 L,Muy grande
C-22,4-NITROACETOFENONA,100-19-6,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,Casi agotado,2.25 g,50 g,Mediano
C-23,"4-HIDROXI-3,5-DIMETOXIBENZALDEHIDO",134-96-3,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,Agotado,0 g,25 g,Mediano
C-24,ACETILACETONA,123-54-6,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,0.74 L,1 L,Muy grande
C-25,ANTRONA,90-44-8,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,7.50 g,25 g,Pequeño
C-26,BENZALDEHIDO,100-52-7,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,0.82 L,1 L,Muy grande
C-27,BENZOFENONA,119-61-9,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,0 g,250 g,Grande
C-27,BENZOFENONA,119-61-9,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,185.62 g,250 g,Mediano
C-27,BENZOFENONA,119-61-9,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,112.50 g,500 g,Grande
C-28,CICLOHEXANONA,108-94-1,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,1 L,1 L,Muy grande
C-28,CICLOHEXANONA,108-94-1,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,412.50 mL,500 mL,Grande
C-29,CICLOPENTANONA,120-92-3,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,49.50 mL,100 mL,Mediano
C-3,"1,4-BENZOQUINONA",106-51-4,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,165.00 g,500 g,Grande
C-30,CROTONALDEHIDO,123-73-9,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,412.50 mL,500 mL,Grande
C-31,DIMEDONA,126-81-8,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,12.38 g,25 g,Pequeño
C-31,DIMEDONA,126-81-8,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,0 g,25 g,Pequeño
C-32,FORMALDEHIDO,50-00-0,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,La botella tiene una gran cantidad de desecante,0.49 L,1 L,Muy grande
C-33,FURFURAL,98-01-1,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,Hay una lata sin abrir en la nevera.,13.20 mL,20 mL,Pequeño
C-34,HIDROQUINONA,123-31-9,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,183.33 g,500 g (estimado),Grande
C-36,TEREFTALALDEHIDO,623-27-8,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,49.50 g,100 g,Mediano
C-36,TEREFTALALDEHIDO,623-27-8,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,300 g,300 g,Mediano
C-37,2-NAFTALDEHIDO,66-99-9,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE METALICO BAJO LLAVE,NULL,2.62 g,5 g,Pequeño-medio
C-38,PIRROL-2-CARBOXALDEHIDO,1003-29-8,Compuestos carbonílicos (aldehídos y cetonas),NEVERA,NULL,25 g,25 g,Mediano
C-39,ACETOFENONA,98-86-2,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,63.36 mL,80 mL,Mediano
C-4,2-CLOROBENZALDEHIDO,89-98-5,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,Frasco ámbar sin etiquetas,2.48 g,5 g,Mediano
C-40,CUMARINA,91-64-5,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,Casi vacío,230 g,250 g,Mediano
C-41,4-CIANOBENZALDEHIDO,105-07-7,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,0.05 g,5 g,Pequeño
C-43,METIL-2-PIRIDILCETONA,1122-62-9,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,Reactivo nuevo,100 mL,100 mL,Mediano
C-44,4-NITROBENZALDEHIDO,555-16-8,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,49.50 g,100 g,Mediano
C-5,ORTO-FTALALDEHIDO,643-79-8,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,El envase no se puede abrir,5 g,5 g,Muy pequeño
C-9,"2,6-DICLOROBENZALDEHIDO",83-38-5,Compuestos carbonílicos (aldehídos y cetonas),ESTANTE MADERA GRANDE,NULL,36.67 g,100 g,Mediano
Ca-01,CARBONATO DE CALCIO,471-34-1,Compuestos de calcio,ESTANTE MADERA GRANDE,Viene en un frasco sin etiquetas.,264.00 g,300 g,Grande
Ca-02,CLORURO DE CALCIO,10043-52-4,Compuestos de calcio,ESTANTE MADERA GRANDE,NULL,1.5 kg,1.5 kg,Grande
Ca-02,CLORURO DE CALCIO,10043-52-4,Compuestos de calcio,ESTANTE MADERA GRANDE,NULL,0.16 kg,1 kg,Muy grande
Ca-03,SULFATO DE CALCIO ANHIDRO,7778-18-9,Compuestos de calcio,ESTANTE MADERA GRANDE,NULL,123.75 g,250 g,Medio-grande
Ca-04,ACETATO DE CALCIO,62-54-4,Compuestos de calcio,ESTANTE MADERA GRANDE,Viene empacado en un frasco de conservas.,17 g,40 g,Mediano
Ca-05,BROMURO DE CALCIO HIDRATADO,71626-99-8,Compuestos de calcio,ESTANTE MADERA GRANDE,Reactivo nuevo.,100 g,100 g,Medio-grande
Ca-06,HIDRURO DE CALCIO,7789-78-8,Compuestos de calcio,ESTANTE METALICO SIN LLAVE,NULL,87.50 g,100 g,Grande
Cd-01,CLORURO DE CADMIO MONOHIDRATADO,35658-65-2,Compuestos de cadmio,ESTANTE MADERA GRANDE,Solido empacado dentro de una lata.,95 g,100 g,Mediano
Cd-02,ACETATO DE CADMIO,543-90-8,Compuestos de cadmio,ESTANTE MADERA GRANDE,NULL,200 g,200 g,Mediano
Cd-03,NITRATO DE CADMIO TETRAHIDRATADO,10022-68-1,Compuestos de cadmio,ESTANTE MADERA GRANDE,NULL,185.62 g,250 g,Mediano
Ce-01,SULFATO DE CERIO (IV),13590-82-4,Compuestos de cerio,ESTANTE MADERA GRANDE,NULL,1 L,1 L,Muy grande
Co-01,NITRATO DE COBALTO,10026-22-9,Compuestos de cobalto,ESTANTE MADERA GRANDE,NULL,165.00 g,250 g,Grande
Co-01,NITRATO DE COBALTO,10026-22-9,Compuestos de cobalto,ESTANTE MADERA GRANDE,NULL,100 g,100 g,Mediano
Co-02,CLORURO DE COBALTO(II),10241-04-0,Compuestos de cobalto,ESTANTE MADERA GRANDE,NULL,74.25 g,100 g,Medio-grande
Cr-01,ACIDO CROMICO,7738-94-5,Compuestos de cromo,ESTANTE MADERA GRANDE,"No se puede abrir, tiene aspecto de reactivo vencido.",1 kg,1 kg,Grande
Cr-02,HEXACARBONILCROMO(0),13007-92-6 ,Compuestos de cromo,ESTANTE MADERA GRANDE,NULL,39.38 g,50 g,Pequeño-medio
Cr-03,CLORURO DE CROMO(III),10025-73-7,Compuestos de cromo,ESTANTE MADERA GRANDE,NULL,131.25 g,250 g,Grande
Cu-01,NITRATO DE COBRE,10031-43-3,Compuestos de cobre,ESTANTE MADERA GRANDE,NULL,0.33 kg,1 kg,Muy grande
Cu-02,ACETATO DE COBRE (II),142-71-2,Compuestos de cobre,ESTANTE MADERA GRANDE,NULL,0.45 lb,1 lb,Grande
Cu-03,SULFATO DE COBRE PENTAHIDRATADO,7758-99-8,Compuestos de cobre,ESTANTE MADERA GRANDE,NULL,0.55 kg,1 kg,Muy grande
Cu-04,YODURO DE COBRE (I),7681-65-4,Compuestos de cobre,ESTANTE MADERA GRANDE,NULL,33.00 g,100 g,Mediano
Cu-05,"2,4-PENTANODIONATO DE COBRE",13395-16-9,Compuestos de cobre,ESTANTE MADERA GRANDE,NULL,24.75 g,50 g,Mediano
Cu-06,COBRE EN POLVO,7440-50-8,Compuestos de cobre,ESTANTE MADERA GRANDE,NULL,33.00 g,100 g,Grande
Cu-07,BROMURO DE COBRE(II),7789-45-9,Compuestos de cobre,ESTANTE MADERA GRANDE,Frasco ámbar pequeño sin etiquetas.,15.83 g,50 g,Mediano
Cu-08,BROMURO DE COBRE(I),7787-70-4,Compuestos de cobre,DESECADOR DE VIDRIO,NULL,112.50 g,250 g,Grande
Cu-08,BROMURO DE COBRE(I),7787-70-4,Compuestos de cobre,DESECADOR DE VIDRIO,NULL,15.83 g,50 g,Mediano
D-1,ACETAMIDA,60-35-5,"Ésteres, derivados de ácido y sales",ESTANTE METALICO,NULL,1 kg,1 kg,Grande
D-10,"1,5-DIFENILCARBAZONA",538-62-5,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,13.75 g,25 g,Pequeño-medio
D-11,ACIDO CROMOTROPICO (SAL DISODICA DIHIDRATADO),5808-22-0,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,19.69 g,25 g,Pequeño
D-12,L-TRIPTOFANO,73-22-3,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,8.25 g,25 g,Mediano
D-13,4-BROMOBENZONITRILO,623-00-7,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,0 g,10 g,Pequeño
D-13,4-BROMOBENZONITRILO,623-00-7,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,3.30 g,10 g,Pequeño
D-14,FLUORESCEINATO DE SODIO,518-47-8,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,13.75 g,25 g,Pequeño-medio
D-15,4-HIDROXIBENZONITRILO,767-00-0,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,35.00 g,50 g,Mediano
D-16,1-HEXANOSULFONATO DE SODIO MONOHIDRATO,2832-45-3,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,27.50 g,50 g,Mediano
D-17,2-NITROTEREFTALATO DE METILO,35092-89-8,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,11.88 g,25 g,Mediano
D-18,NONADECANOATO DE METILO,1731-94-8,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,1.75 g,5 g,Pequeño
D-19,OXALATO DE DIMETILO,553-90-2,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,Viene envasado en un vial de 15 mL sin rótulos.,7 g,7.5 g,Pequeño
D-2,ANHIDRIDO FTALICO,85-44-9,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,"El frasco está nuevo, sin abrir.",100 g,100 g,Mediano
D-2,ANHIDRIDO FTALICO,85-44-9,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,"El frasco está nuevo, sin abrir.",500 g,500 g,Grande
D-20,N-METILFORMAMIDA,123-39-7,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,100 mL,100 mL,Medio-grande
D-21,4-YODOBENZOATO DE METILO,619-44-3,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,17.50 g,50 g,Mediano
D-22,SULFANILAMIDA,63-74-1,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,88.00 g,100 g,Mediano
D-23,SULFATO DE QUININA DIHIDRATO,6119-70-6,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,3.17 g,10 g,Pequeño
D-24,VALERATO DE METILO,624-24-8,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,1.65 mL,5 mL,Pequeño
D-25,TETRAFENILBORATO DE SODIO,143-66-8,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,17.50 g,25 g,Pequeño
D-26,"CLORURO DE 2,3,5-TRIFENILTETRAZOLIO",298-96-4,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,10 g,10 g,Pequeño
D-27,BORATO DE TRIISOPROPILO,5919-55-6,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,100 mL,100 mL,Mediano
D-28,P-TOLUENSULFONAMIDA,70-55-3,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,137.50 g,250 g,Grande
D-29,"2,4-DIISOCIANATO DE TOLUENO",584-84-9,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,250 mL,250 mL,Medio-grande
D-3,ACETATO DE DICICLOHEXILAMINA,14297-75-7,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,145 g,150 g,Mediano
D-30,ACETATO DE ISOAMILO,123-92-2,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,88.00 mL,100 mL,Mediano
D-31,ACRILATO DE BUTILO,141-32-2,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,23.75 mL,100 mL,Grande
D-32,BENZANILIDA,93-98-1,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,100 g,100 g,Medio-grande
D-34,CITRATO DE SODIO (BOLSA PLASTICA),68-04-2,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,"Está empacado en una bolsa de materias primas, la bolsa se encuentra abierta a la intemperie.",0.88 lb,1 lb,Mediano
D-35,"N,N-DIETILFORMAMIDA",617-84-5,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,9.17 g,25 g,Mediano
D-36,DIFENILACETONITRILO,86-29-3,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,206.25 g,250 g,Grande
D-38,DIOCTILSULFOSUCCINATO DE SODIO SAL SODICA,577-11-7,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,33.00 g,100 g,Grande
D-39,FORMAMIDA,75-12-7,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,175.00 mL,250 mL,Grande
D-4,OXAMATO DE SODIO,617-36-7,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,10 g,10 g,Pequeño
D-40,FENILISOCIANATO,616-38-6,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,100 mL,100 mL,Mediano
D-41,GLUCONATO DE SODIO (BOLSA PLASTICA),527-07-1,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,Empacado en una bolsa plástica resellable.,135 g,200 g,Mediano
D-42,4-HIDROXIBENZOATO DE METILO,99-76-3,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,218.75 g,250 g,Medio-grande
D-42,4-HIDROXIBENZOATO DE METILO,99-76-3,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,218.75 g,250 g,Medio-grande
D-43,TETRAFLUOROBORATO DE 4-NITROBENCENODIAZONIO,456-27-9,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,3.30 g,10 g,Mediano
D-44,SODAMIDA,7782-92-5,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,87.50 g,100 g,Mediano
D-45,SALICILAMIDA,65-42-2,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,250 g,250 g,Grande
D-47,DIMETILFTALATO,131-11-3,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,Está envasado en un frasco ámbar sin etiquetas.,250 mL,250 mL,Medio-grande
D-48,ANHIDRIDO MALEICO,108-31-6,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,El frasco no se puede abrir con facilidad.,500 g,500 g,Grande
D-5,BROMURO DE METILTRIFENILFOSFONIO,1779-49-3,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,100 g,100 g,Mediano
D-5,BROMURO DE METILTRIFENILFOSFONIO,1779-49-3,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,4.75 g,100 g,Mediano
D-51,DIFENILMETANO,101-81-5,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,218.75 mL,250 mL,Medio-grande
D-51,DIFENILMETANO,101-81-5,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,218.75 mL,250 mL,Medio-grande
D-51,DIFENILMETANO,101-81-5,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,218.75 mL,250 mL,Medio-grande
D-51,DIFENILMETANO,101-81-5,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,218.75 mL,250 mL,Medio-grande
D-52,2-(BROMOMETIL)BENZONITRILO,22115-41-9,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,20.62 g,25 g,Mediano
D-53,TETRAFLUOROTEREFTALONITRILO,1835-49-0,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,25 g,25 g,Pequeño
D-54,DIETILMALONATO,105-53-3,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,20.62 g,25 g,Mediano
D-55,BISPIRAZOLONA,7477-67-0,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,50 g,50 g,Mediano
D-56,BUTILCARBAMATO,592-35-8,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,25 g,25 g,Pequeño
D-57,4-FORMILBENZOATO DE METILO,93-58-3,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,91.67 g,100 g,Mediano
D-58,QUERATINA,68238-35-7,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,62 mL,65 mL,Pequeño-medio
D-59,ACETATO DE AMILO,628-63-7,"Ésteres, derivados de ácido y sales",ESTANTE METALICO SIN LLAVE,NULL,0.82 L, 1 L,Grande
D-6,ACETOACETATO DE ETILO,141-97-9,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,137.50 mL,250 mL,Mediano
D-7,4-ESTIRENSULFONATO DE SODIO,2695-37-6,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,13.12 g,50 g,Mediano
D-9,CLORURO DE DANSILO,605-65-2,"Ésteres, derivados de ácido y sales",ESTANTE METÁLICO,NULL,0.24 g,1 g,Muy pequeño
DE-01,TRIFENILFOSFITO SECO,101-02-0,Compuestos en desecador,DESECADOR DE VIDRIO-ESTANTE METALICO,NULL,10 mL,15 mL,Pequeño
DE-05,"N,N'-DICICLOHEXILCARBODIIMIDA",538-75-0,Compuestos en desecador,DESECADOR PLASTICO,NULL,36.67 g,100 g,Grande
DE-07,TERTBUTOXIDO DE POTASIO,865-47-4,Compuestos en desecador,DESECADOR DE VIDRIO,NULL,4.50 g,25 g,Mediano
F-1,AMBERLITA IRA-400,NULL,Silica y demás,ESTANTE MADERA GRANDE,NULL,0.02 lb,1 lb,Grande
F-10,OXIDO DE ALUMINIO 90 ACTIVADO,NULL,Silica y demás,ESTANTE MADERA GRANDE,NULL,0.26 kg,1 kg,Muy grande
F-12,OXIDO DE ALUMINIO G,NULL,Silica y demás,ESTANTE MADERA GRANDE,NULL,1 kg,1 kg,Grande
F-12,OXIDO DE ALUMINIO G,NULL,Silica y demás,ESTANTE MADERA GRANDE,NULL,250 g,250 g,Mediano
F-12,OXIDO DE ALUMINIO G,NULL,Silica y demás,ESTANTE MADERA GRANDE,NULL,250 g,250 g,Mediano
F-13,OXIDO DE ALUMINIO G NEUTRO,NULL,Silica y demás,ESTANTE MADERA GRANDE,NULL,183.33 g,500 g,Grande
F-14,GEL DE SILICE PARA CROMATOGRAFIA EN COLUMNA,NULL,Silica y demás,ESTANTE MADERA GRANDE,NULL,49.50 g,500 g,Grande
F-14,GEL DE SILICE PARA CROMATOGRAFIA EN COLUMNA,NULL,Silica y demás,ESTANTE MADERA GRANDE,NULL,350.00 g,500 g,Grande
F-18,SILICA CON INDICADOR DE HUMEDAD,NULL,Silica y demás,ESTANTE MADERA GRANDE,NULL,0.53 kg,1 kg,Grande
F-18,SILICA CON INDICADOR DE HUMEDAD,NULL,Silica y demás,ESTANTE MADERA GRANDE,NULL,0.33 kg,1 kg,Grande
F-18,SILICA CON INDICADOR DE HUMEDAD,NULL,Silica y demás,ESTANTE MADERA GRANDE,NULL,0.82 kg,1 kg,Grande
F-19,TIERRA SILICEA PURIFICADA Y CALCINADA,NULL,Silica y demás,ESTANTE MADERA GRANDE,Etiquetado erróneamente como F-30.,0.63 kg,1 kg,Grande
F-19,TIERRA SILICEA PURIFICADA Y CALCINADA,NULL,Silica y demás,ESTANTE MADERA GRANDE,Etiquetado erróneamente como F-30.,0.04 kg,1 kg,Grande
F-2,AMBERLITA IRA-120,NULL,Silica y demás,ESTANTE MADERA GRANDE,NULL,0.79 lb,1 lb,Grande
F-20,SILICA FUNCIONALIZADA CON OCTADECILO FASE REVERSA,NULL,Silica y demás,ESTANTE MADERA GRANDE,NULL,76.00 g,100 g,Grande
F-21,SILICA 60 PF(254),NULL,Silica y demás,ESTANTE MADERA GRANDE,NULL,5 kg,5 kg,Gigante
F-23,CELULOSA,9004-34-6,Silica y demás,ESTANTE MADERA GRANDE,NULL,0.70 kg,1 kg,Muy grande
F-24,TAMICES MOLECULARES 3A,NULL,Silica y demás,ESTANTE MADERA GRANDE,El frasco no. 1 tiene un mesh de 4-8 y el frasco no. 2 tiene un mesh de 8-12.,1 kg,1 kg,Grande
F-24,TAMICES MOLECULARES 3A,NULL,Silica y demás,ESTANTE MADERA GRANDE,El frasco no. 1 tiene un mesh de 4-8 y el frasco no. 2 tiene un mesh de 8-12.,0.16 kg,1 kg,Muy grande
F-25,CHEMIZORB,NULL,Silica y demás,ESTANTE MADERA GRANDE,NULL,225.00 g,500 g,Muy grande
